Famous database from Fisher 1936
sepallength,sepalwidth,petallength,petalwidth,classname
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(2.95-3.05],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(2.95-3.05],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],[2-2.95],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(2.95-3.05],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
[4.3-5.55],(3.05-4.4],[1-2.45],[0.1-0.8],Iris-setosa
(6.25-7.9],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(4.75-6.9],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-versicolor
(6.25-7.9],(2.95-3.05],(4.75-6.9],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-versicolor
[4.3-5.55],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],(2.95-3.05],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(5.55-6.25],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-versicolor
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
[4.3-5.55],[2-2.95],(2.45-4.75],(0.8-1.75],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(0.8-1.75],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(0.8-1.75],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],[2-2.95],(4.75-6.9],(1.75-2.5],Iris-virginica
(6.25-7.9],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],(3.05-4.4],(4.75-6.9],(1.75-2.5],Iris-virginica
(5.55-6.25],(2.95-3.05],(4.75-6.9],(1.75-2.5],Iris-virginica
